CX34	CX34	0.0134915	-0.00461321	-0.00101919	-0.000275961	-0.00384653
CX35	CX35	0.0146449	-0.0094082	-0.00128468	-0.00138135	-0.013594
CX37	CX37	0.0139219	-0.0081981	-0.00253045	-0.000677051	-0.0201629
CX42	CX42	0.0131535	-0.00813518	-0.00258644	-0.00238517	-0.0368317
CX43	CX43	0.0138565	-0.00721437	-0.00127516	-0.002112	-0.0188855
CX44	CX44	0.0139422	-0.00780386	-0.00163555	-0.000479248	-0.0103806
CX45	CX45	0.0152245	-0.00917106	-1.77263e-07	-0.00082269	0.00189388
CX46	CX46	-0.000851888	0.00695876	0.0103033	0.0515214	-0.0151076
CX47	CX47	-0.0284289	-0.00614768	-0.0379298	-0.0030167	0.00385219
CX48	CX48	0.0120917	-0.00814672	0.000538544	-0.00217393	-0.00359304
CX49	CX49	-0.0159867	-0.00636671	-0.0247938	-0.000425649	-0.00651164
CX50	CX50	0.0140406	-0.00813769	-0.0036093	-0.00251843	-0.0296761
CX51	CX51	0.0081339	-0.00570688	-0.00435325	-0.00166864	-0.0124219
CX52	CX52	0.0139221	-0.00773762	-0.000420538	-0.000492762	-0.00962266
CX53	CX53	0.0150484	-0.00964317	-0.00150758	-0.00127973	-0.00484622
CX54	CX54	0.0143403	-0.00862926	-0.000410628	-0.000260891	-0.00184418
CX55	CX55	0.0145984	-0.00839927	-0.00292918	-0.00380372	-0.0447748
CX56	CX56	-0.0286308	-0.00580377	-0.0430309	-0.000485829	0.00371191
CX57	CX57	-0.0221623	-0.00641033	-0.0404214	-0.00070215	-0.000899115
CX58	CX58	-0.0286993	-0.00599364	-0.0368956	-0.000856954	0.00337632
CX59	CX59	-0.0161692	0.0175948	0.0193182	0.114599	-0.00887903
CX60	CX60	0.00962292	-0.00583545	-0.00423951	0.00137378	-0.021241
CX61	CX61	0.0130014	-0.00698693	-0.00304908	-0.000637611	-0.0286378
CX63	CX63	0.00328185	0.0668299	-0.00405252	-0.0135333	-0.000398492
CX64	CX64	0.011563	-0.00832335	0.00363384	-0.000871512	0.0180235
CX65	CX65	-0.0188522	0.0179517	0.0191442	0.116076	-0.0101704
CX66	CX66	-0.019054	0.0178812	0.0191811	0.116294	-0.0100212
CX67	CX67	-0.0191643	0.0175522	0.0186342	0.114499	-0.00981113
CX68	CX68	0.0142546	-0.0088532	-0.000653173	0.00127713	0.00390552
CX69	CX69	0.00410257	-0.00207234	0.00333094	0.0263623	-0.00643065
CX70	CX70	0.0137946	-0.0081042	3.89432e-05	0.00130841	0.0094613
CX71	CX71	0.0146816	-0.00918816	0.00118096	0.00275908	0.0218066
CX72	CX72	-0.00775786	0.0177407	0.0151729	0.0828496	-0.0152722
CX73	CX73	0.0146265	-0.00987546	-0.000324584	-0.00173501	-0.00553482
CX74	CX74	-0.0290985	-0.00613357	-0.0509454	-0.000834416	0.00463655
CX75	CX75	0.0135088	-0.00727361	-0.00202548	-0.00134791	-0.0161798
CX76	CX76	0.0137702	-0.00706192	-0.00149794	-0.00125927	-0.0114071
CX77	CX77	-0.0274512	-0.00587471	0.0215063	-0.0173341	-0.000668089
CX78	CX78	-0.0284651	-0.00595356	-0.0270963	-0.00684269	0.00297527
CX79	CX79	0.0143759	-0.0082271	-0.00183125	-0.000572366	-0.0177483
CX80	CX80	0.0151949	-0.00891925	-0.00172969	-0.000640167	-0.0102442
CX82	CX82	0.0137257	-0.00822357	-0.00172188	0.00035124	-0.0188857
CX83	CX83	0.0145738	-0.00916536	-0.000524649	-0.000910346	-0.0138222
CX84	CX84	0.0141817	-0.00898509	-0.0018136	-0.00191103	-0.0266666
CX85	CX85	0.0144054	-0.00676633	-0.00146364	-4.643e-05	-0.0173916
CX86	CX86	0.0121182	-0.00902907	-0.00490303	-0.00280314	-0.0285565
CX87	CX87	0.0133224	-0.00892324	-0.00360264	-0.00296938	-0.0369655
CX88	CX88	0.0138433	-0.00733482	-0.00292438	-0.00284758	-0.046744
CX89	CX89	0.010604	-0.00717434	-0.000201791	-0.00252051	-0.0223557
CX90	CX90	0.00594544	-0.00789366	0.00420226	-0.00446402	-0.00792254
CX91	CX91	0.013331	-0.00723356	-0.0010674	-0.000705748	-0.0135111
